Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,"6,292.60","6,224.07","6,319.81","6,224.07",1.68B,1.10%
18-Jun-20,"6,224.07","6,253.25","6,284.96","6,184.88",782.89M,-0.47%
17-Jun-20,"6,253.25","6,242.79","6,309.74","6,233.24",863.31M,0.17%
16-Jun-20,"6,242.79","6,064.70","6,299.02","6,064.70",1.03B,2.94%
15-Jun-20,"6,064.70","6,105.18","6,105.18","5,952.44",835.34M,-0.66%
12-Jun-20,"6,105.18","6,076.70","6,184.29","5,993.20",1.06B,0.47%
11-Jun-20,"6,076.70","6,329.13","6,329.13","6,076.70",1.12B,-3.99%
10-Jun-20,"6,329.13","6,335.72","6,387.35","6,293.83",1.12B,-0.10%
9-Jun-20,"6,335.72","6,472.59","6,475.01","6,325.07",1.29B,-2.11%
8-Jun-20,"6,472.59","6,484.30","6,511.84","6,423.06",1.30B,-0.18%
5-Jun-20,"6,484.30","6,341.44","6,489.99","6,341.44",1.40B,2.25%
4-Jun-20,"6,341.44","6,382.41","6,402.57","6,314.59",1.04B,-0.64%
3-Jun-20,"6,382.41","6,220.14","6,394.70","6,220.14",1.23B,2.61%
2-Jun-20,"6,220.14","6,166.42","6,238.25","6,165.05",1.19B,0.87%
1-Jun-20,"6,166.42","6,076.60","6,179.34","6,076.60",739.93M,1.48%
29-May-20,"6,076.60","6,218.79","6,218.79","6,060.16",2.25B,-2.29%
28-May-20,"6,218.79","6,144.25","6,234.04","6,144.25",1.21B,1.21%
27-May-20,"6,144.25","6,067.76","6,167.96","6,067.76",1.54B,1.26%
26-May-20,"6,067.76","5,993.28","6,130.12","5,993.28",1.25B,1.24%
22-May-20,"5,993.28","6,015.25","6,015.25","5,888.58",985.50M,-0.37%
21-May-20,"6,015.25","6,067.16","6,093.74","6,004.10",1.01B,-0.86%
20-May-20,"6,067.16","6,002.23","6,074.46","5,961.56",925.38M,1.08%
19-May-20,"6,002.23","6,048.59","6,111.96","5,965.10",1.00B,-0.77%
18-May-20,"6,048.59","5,799.77","6,058.17","5,799.61",930.32M,4.29%
15-May-20,"5,799.77","5,741.54","5,837.88","5,741.54",927.43M,1.01%
