caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19260409,0.000677,0.000405,0.000624,-0.000049,14150859.90,,
19260410,-0.003047,-0.003047,-0.003159,-0.003159,14107746.20,,
19260412,-0.019107,-0.019107,-0.021974,-0.021974,13838183.40,,
19260413,0.010267,0.010166,0.014083,0.013934,13962952.40,,
19260414,-0.012908,-0.013064,-0.015198,-0.015306,13796051.20,,
19260415,0.002818,0.002628,0.003647,0.003480,13816751.40,,
19260416,0.000042,-0.000336,0.001018,0.000436,13812112.90,,
19260417,0.002807,0.002807,0.001425,0.001425,13866277.60,,
19260419,0.000777,0.000777,-0.001992,-0.001992,13877050.70,,
19260420,0.004656,0.004656,0.005847,0.005847,13941661.10,,
19260421,0.015531,0.015468,0.016859,0.016700,14157306.10,,
19260422,0.009272,0.009272,0.008270,0.008270,14288573.80,,
19260423,0.011533,0.011501,0.010966,0.010747,14452911.90,,
19260424,0.006770,0.006770,0.004462,0.004462,14535690.20,,
19260426,-0.006923,-0.006923,-0.009655,-0.009655,14450207.10,,
19260427,-0.001158,-0.001158,-0.000485,-0.000485,14433474.60,,
19260428,0.006942,0.006942,0.004714,0.004714,14533673.50,,
19260429,0.001811,0.001364,0.000829,0.000634,14553498.40,,
19260430,-0.002338,-0.003643,-0.005328,-0.006253,14500482.20,,
19260501,-0.001858,-0.001858,-0.001369,-0.001369,14210131.00,,
19260503,-0.016543,-0.016543,-0.017603,-0.017603,14221501.50,,
19260504,0.004776,0.004776,0.004074,0.004074,14304389.40,,
19260505,0.001722,0.001722,0.001663,0.001663,14314042.10,,
19260506,0.002038,0.002038,0.001788,0.001788,14343208.20,,
19260507,-0.008789,-0.008941,-0.009645,-0.009826,14230118.10,,
19260508,-0.000664,-0.000664,-0.001417,-0.001417,14220665.90,,
19260510,-0.004460,-0.004622,-0.003431,-0.003647,14139482.60,,
19260511,0.000599,0.000263,0.001736,0.001505,14143196.10,,
19260512,0.003519,0.003519,0.004250,0.004250,14208141.40,,
19260513,-0.002317,-0.002317,-0.001270,-0.001270,14262560.80,,
19260514,-0.001665,-0.001858,-0.002655,-0.003095,14236068.90,,
19260515,-0.002386,-0.002386,-0.002984,-0.002984,14202102.90,,
19260517,-0.000567,-0.000567,-0.001217,-0.001217,14194046.80,,
19260518,-0.001398,-0.001398,-0.002933,-0.002933,14174200.40,,
19260519,-0.001767,-0.001852,-0.002811,-0.003062,14132112.60,,
19260520,0.009557,0.009111,0.010278,0.010165,14276522.00,,
19260521,0.007051,0.007051,0.009260,0.009260,14361427.00,,
19260522,0.004523,0.004523,0.003926,0.003926,14327098.40,,
19260524,0.002977,0.000904,0.004169,0.003615,14438796.10,,
19260525,0.004020,0.004020,0.004006,0.004006,14496839.40,,
19260526,0.006062,0.006062,0.004086,0.004086,14600513.10,,
19260527,0.002671,0.002317,0.004315,0.004249,14689965.50,,
19260528,0.006871,0.006047,0.007305,0.006772,14778795.50,,
19260601,-0.004991,-0.006218,-0.005377,-0.006276,14686905.80,,
19260602,0.004769,0.004769,0.004782,0.004782,14808540.50,,
19260603,0.004452,0.004452,0.006070,0.006070,14822646.20,,
19260604,0.001589,0.000412,0.001063,-0.000029,14818947.90,,
19260605,0.000211,0.000211,0.000073,0.000073,14677959.90,,
19260607,0.001872,0.001381,0.001936,0.001825,14842558.60,,
19260608,0.001040,0.000925,0.002073,0.001893,14856282.20,,
19260609,0.000579,0.000480,-0.000747,-0.000968,14863419.20,,
19260610,0.001475,0.001475,-0.000095,-0.000095,14885345.20,,
19260611,0.009138,0.009000,0.007216,0.006862,15019315.90,,
19260612,0.006479,0.006479,0.004755,0.004755,15116626.70,,
19260614,0.005434,0.005405,0.006049,0.005954,15198325.40,,
19260615,0.000072,-0.000594,-0.000797,-0.001834,15189303.20,,
19260616,0.005739,0.005739,0.006309,0.006309,15260293.10,,
19260617,0.008465,0.008377,0.009286,0.008900,15388136.00,,
19260618,-0.007409,-0.007637,-0.004651,-0.004805,15286476.80,,
19260619,0.008156,0.008156,0.008025,0.008025,15411160.60,,
19260621,0.003165,0.003061,0.004511,0.004334,15458330.40,,
19260622,0.002162,0.002162,0.002106,0.002106,15491744.40,,
19260623,-0.007393,-0.007393,-0.007263,-0.007263,15377207.00,,
19260624,0.002784,0.002784,0.001335,0.001335,15420012.40,,
19260625,-0.002794,-0.003859,-0.003367,-0.004216,15360500.60,,
19260626,-0.000521,-0.000521,-0.000713,-0.000713,15106757.10,,
19260628,0.002784,0.002744,0.002456,0.002308,15378305.20,,
19260629,0.005671,0.005671,0.005331,0.005331,15465464.60,,
19260630,0.002463,0.001810,0.001055,0.000010,15554633.50,,
19260701,0.002716,0.002667,0.000879,0.000692,15601882.80,,
19260702,0.004275,0.004056,0.003245,0.002917,15448798.50,,
19260706,0.000781,0.000781,0.003413,0.003413,15730100.40,,
19260707,0.002074,0.002074,0.002906,0.002906,15724408.40,,
19260708,0.002242,0.002242,0.004335,0.004335,15759666.60,,
19260709,-0.007629,-0.007941,-0.006248,-0.007029,15634519.10,,
19260710,0.006689,0.006689,0.005550,0.005550,15791876.80,,
19260712,0.001369,0.001280,0.002067,0.001945,15708039.30,,
19260713,0.005007,0.005007,0.003098,0.003098,15837826.80,,
19260714,0.000770,0.000770,0.001398,0.001398,15850028.10,,
19260715,-0.004439,-0.005000,-0.004200,-0.004731,15770776.60,,
19260716,0.005231,0.004963,0.004897,0.004558,15573291.10,,
19260717,0.004408,0.004408,0.004050,0.004050,15703041.20,,
19260719,0.000239,0.000239,0.000345,0.000345,15905031.10,,
19260720,-0.006844,-0.006901,-0.005236,-0.005420,15538304.80,,
19260721,-0.004943,-0.005008,-0.004905,-0.005052,15732091.40,,
19260722,-0.007862,-0.007862,-0.008754,-0.008754,15608407.00,,
19260723,0.000200,-0.000090,0.000678,0.000319,15607005.50,,
19260724,-0.000682,-0.000682,-0.000595,-0.000595,15548420.80,,
19260726,0.006141,0.006141,0.005767,0.005767,15692166.50,,
19260727,0.004131,0.004131,0.003587,0.003587,15776967.40,,
19260728,0.011802,0.011802,0.010011,0.010011,15947415.80,,
19260729,0.005824,0.005824,0.002767,0.002767,15916292.70,,
19260730,0.002755,0.002452,0.001226,0.000750,16093358.80,,
19260731,0.006015,0.006015,0.007255,0.007255,16180459.20,,
19260802,0.007214,0.006752,0.002376,0.002211,16299302.70,,
19260803,0.006434,0.006300,0.002815,0.002647,16401981.90,,
19260804,-0.004990,-0.004990,-0.003206,-0.003206,16320141.60,,
19260805,-0.000877,-0.000877,0.000109,0.000109,16134782.90,,
19260806,0.007379,0.007379,0.006898,0.006898,16409458.20,,
19260807,0.005109,0.005109,0.002554,0.002554,16493299.60,,
19260809,0.001313,0.001313,0.001178,0.001178,16514951.20,,
19260810,-0.016169,-0.016738,-0.011191,-0.011593,16238520.10,,
19260811,-0.005923,-0.005923,-0.003884,-0.003884,16157092.60,,
19260812,0.011245,0.011245,0.009270,0.009270,16338775.50,,
19260813,0.008941,0.008782,0.005838,0.005464,16482256.10,,
19260814,0.006175,0.006175,0.004594,0.004594,16533628.20,,
19260816,0.001146,0.000690,0.002175,0.001846,16594268.40,,
19260817,-0.011025,-0.011025,-0.008977,-0.008977,16411318.80,,
19260818,0.002670,0.002670,0.002047,0.002047,16586617.40,,
19260819,-0.007308,-0.007398,-0.006710,-0.006951,16463906.10,,
19260820,-0.001691,-0.002308,-0.000783,-0.000888,16410921.50,,
19260821,0.003627,0.003627,0.004214,0.004214,16485318.80,,
19260823,0.006257,0.006257,0.003145,0.003145,16573495.10,,
19260824,-0.009515,-0.009515,-0.008287,-0.008287,16415798.90,,
19260825,-0.003327,-0.003327,-0.002993,-0.002993,16376308.80,,
19260826,0.006277,0.005961,0.005401,0.005333,16473929.90,,
19260827,0.003533,0.003194,0.003283,0.003117,16526540.50,,
19260828,0.003397,0.003397,0.005556,0.005556,16473539.20,,
19260830,0.002494,0.002494,0.002792,0.002792,16623707.00,,
19260831,0.008127,0.007200,0.004471,0.004011,16743393.60,,
19260901,0.004860,0.004106,0.008336,0.007777,16812142.60,,
19260902,0.000077,0.000077,0.001235,0.001235,16813441.10,,
19260903,0.007763,0.006938,0.008672,0.007911,16930086.50,,
19260907,0.007463,0.007266,0.007109,0.006947,17053103.80,,
19260908,-0.006194,-0.006329,-0.004617,-0.004764,16945180.90,,
19260909,0.000578,0.000492,0.001339,0.001135,16953520.40,,
19260910,-0.010110,-0.010173,-0.007757,-0.007871,16781060.10,,
19260911,-0.005067,-0.005067,-0.004518,-0.004518,16696023.30,,
19260913,0.000782,0.000722,0.000813,0.000592,16708080.40,,
19260914,0.011041,0.011041,0.009442,0.009442,16892555.50,,
19260915,-0.002918,-0.003728,-0.003624,-0.004505,16829579.00,,
19260916,-0.000885,-0.000885,-0.002353,-0.002353,16814680.60,,
19260917,-0.009284,-0.009572,-0.011280,-0.011797,16653726.00,,
19260918,0.008449,0.008449,0.009066,0.009066,16770604.90,,
19260920,-0.005899,-0.005995,-0.007555,-0.007731,16749473.20,,
19260921,0.004003,0.003878,0.004558,0.004398,16814420.80,,
19260922,-0.002042,-0.002042,-0.002672,-0.002672,16724186.90,,
19260923,0.002617,0.002617,0.003195,0.003195,16698773.60,,
19260924,0.007508,0.007299,0.006115,0.005818,16947633.90,,
19260925,0.002409,0.002409,0.002782,0.002782,16988464.00,,
19260927,-0.001923,-0.002020,-0.002694,-0.002991,16954149.40,,
19260928,-0.000015,-0.000015,-0.001522,-0.001522,16895849.40,,
19260929,-0.003615,-0.003615,-0.002525,-0.002525,16891742.00,,
19260930,0.004460,0.003895,0.004273,0.003277,16835120.40,,
19261001,0.008863,0.008817,0.005201,0.005004,17044807.90,,
19261002,-0.000974,-0.000974,-0.001689,-0.001689,17028206.40,,
19261004,-0.015321,-0.015370,-0.017210,-0.017397,16766479.80,,
19261005,-0.011636,-0.012037,-0.010853,-0.011001,16564669.90,,
19261006,-0.004755,-0.004755,-0.005334,-0.005334,16485911.80,,
19261007,-0.009997,-0.009997,-0.005774,-0.005774,16378078.20,,
19261008,0.006137,0.005966,0.005866,0.005613,16418481.00,,
19261009,-0.010681,-0.010681,-0.009899,-0.009899,16243116.70,,
19261011,-0.007048,-0.007226,-0.006519,-0.006973,16124699.10,,
19261013,0.009222,0.009222,0.008964,0.008964,16259060.00,,
19261014,0.009533,0.009533,0.010335,0.010335,16427256.20,,
19261015,-0.019495,-0.020138,-0.018864,-0.019623,16157628.10,,
19261016,-0.007620,-0.007620,-0.007317,-0.007317,15977962.00,,
19261018,0.008787,0.008787,0.008197,0.008197,16175758.90,,
19261019,-0.012061,-0.012061,-0.011514,-0.011514,15923945.40,,
19261020,0.000422,0.000366,-0.000938,-0.001131,15929678.00,,
